date,headline
2016-10-14,"Nasdaq Hits Resistance; Netflix, Microsoft On Tap, Tesla's Musk Teases"
2016-10-14,"Amazon To Gain In Enterprise Vs. Microsoft, With VMware Onboard"
2016-10-15,"Netflix, GE, Microsoft, Tesla, China Lead Week's Investing Action Plan"
2016-10-17,You Can Collect A Safe 16% IRR By Yearend With This Microsoft Deal
2016-10-19,Microsoft Leads 4 Stocks Near Buy Points With Earnings Due: Investing Action Plan
2016-10-20,Stocks Close Lower; AmEx Leads Dow; Microsoft Jumps After Hours
2016-10-20,"Microsoft, PayPal Rally On Earnings, Schlumberger Sales Miss"
2016-10-21,"Week In Review: Netflix And Pizza, Microsoft's Cloud Lofty As eBay, Intel Guide Low"
2016-10-21,"Tech ETF Investors Cheer As Microsoft, PayPal Surge To All-Time Highs"
2016-10-21,"Tesla's New Product, Google's Web TV Plans, Microsoft's Earnings - Eye On Tech"
2016-10-21,"Stocks Open Lower; Early Risers: Microsoft, Reynolds American"
2016-10-21,Microsoft: Still Undervalued?
2016-10-21,"Apple PT Raised; Microsoft, PayPal Upgraded; Yahoo Downgraded"
2016-10-21,"Stocks Mixed, But Security Firms Up; Microsoft Makes A Stunning Breakout"
2016-10-26,"Microsoft Expands Surface PC Line Into Desktops, Unveils New Windows OS"
2016-10-28,"Insiders Sell MasterCard, Microsoft"
2016-11-07,"Stocks Roar Ahead; Dow Regains Key Support As Microsoft, Apple Rally"
2016-11-08,"Richard Pzena Sells Microsoft, ExxonMobil, HP"
2016-11-09,"Apple, Microsoft, Cisco Eye Trump Overseas Cash Tax Plan"
2016-11-09,"Amazon, Microsoft Capitalize On Cloud-Computing Bonanza"
2016-11-10,"Microsoft, Papa John's, Proofpoint Near Buy Points: Investing Action Plan"
2016-11-11,"Microsoft, Papa John's, Proofpoint: Top Stocks Back In Buy Range"
2016-11-13,"Why You Should Watch Apple, Microsoft, Facebook, Disney, Nordstrom"
2016-11-15,"Stocks Rally As Oil Surges 5%; Nasdaq Gets Boost From Apple, Microsoft"
2016-11-16,30% IRR From Microsoft Deal
2016-11-17,"Microsoft, Time Warner, NetApp Upgraded; Cisco PT Sliced"
2016-11-28,Amazon Re:Invent: Software Deals Aim At Microsoft Cloud
2016-12-05,"Hotchkis & Wiley Trims Corning, Microsoft, Exits HP"
2016-12-06,Microsoft Defeats Salesforce; LinkedIn Deal Set To Close
2016-12-08,"Boost In Technology Budgets Benefits Amazon, Microsoft, Salesforce"
2016-12-09,"Stock Market Indexes Rally To New Highs; Apple, Microsoft Boost Dow"
2016-12-13,"FPA Capital Trims Positions in Microsoft, Cisco, Oracle"
2016-12-13,5 Software Stocks Better than Microsoft Right Now
2016-12-14,Amazon Gets Big Boost For Echo As Microsoft Readies A Rival Device
2016-12-15,"Dodge & Cox Sells Symantec, Walmart, Microsoft"
2016-12-21,"Stock Market Roundup, Dec. 21: TDK Buys INVN, MSFT Nabs DoD Contract"
2016-12-21,"Apple, General Electric, Microsoft Lead Field In Stock Buybacks"
2016-12-23,"Stocks Quiet Ahead of Christmas Holiday; Apple, Microsoft Slip On Dow"
2016-12-30,"Stocks End Down, But Up For 2016; Apple, Microsoft Drag On Dow, Nasdaq"
2017-01-05,"Microsoft Price-Target Hiked, Surface Business Booms Vs. Apple"
2017-01-06,Uh-Oh! Facebook Looks A Lot Like Microsoft In 1999
2017-01-09,Could Microsoft Join Cisco In Hunt For Security Firms?
2017-01-10,"Perkins Coie Trust Co Buys Microsoft Corp, Walt Disney Co, PepsiCo Inc, Sells International ..."
2017-01-10,"Baldwin Brothers Inc Buys Microsoft Corp, Nordstrom Inc, Costco Wholesale Corp, Sells Nielsen ..."
2017-01-13,"North Star Investment Management Corp. Buys Apple Inc, Microsoft Corp, iShares –-' Year ..."
2017-01-16,Baidu Hires Ex-Microsoft Exec As COO In Artificial Intelligence Push
2017-01-18,"Stillwater Capital Advisors, LLC Buys Microsoft Corp, Starbucks Corp, Johnson & Johnson, ..."
2017-01-18,"Alecta Pensionsforsakring, Omsesidigt Buys The Estee Lauder Companies Inc, Microsoft Corp, ..."
2017-01-21,"Alphabet, Microsoft, Boeing, Starbucks Lead Investing Action Plan"
2017-01-23,"Oregon Public Employees Retirement Fund Buys Procter & Gamble Co, Microsoft Corp, Qualcomm ..."
2017-01-23,"Cottage Street Advisors LLC Buys Amazon.com Inc, First Republic Bank, Microsoft Corp, Sells ..."
2017-01-23,"Investmentaktiengesellschaft Fuer Langfristige Investoren Tgv Buys Microsoft Corp, Facebook ..."
2017-01-24,"Lagoda Investment Management, L.P. Buys Texas Pacific Land Trust, Microsoft Corp, Coca-Cola Co, ..."
2017-01-24,"Meritage Portfolio Management Buys Microsoft Corp, iShares Nasdaq Biotechnology Index Fund, ..."
2017-01-25,"Ford, Alphabet, Microsoft, Starbucks, Biotechs: Investing Action Plan"
2017-01-27,"Wright Investors Service Inc Buys JetBlue Airways Corp, Microsoft Corp, JPMorgan Chase & ..."
2017-01-27,"Alphabet PT Cut; Microsoft, Southwest PTs Hiked; Ford Upgraded"
2017-01-30,Will Microsoft Stymie Salesforce.com's Stock Turnaround?
2017-01-30,Microsoft: Building The Essential Technologies Of The Future
2017-01-31,"WestEnd Advisors, LLC Buys Microsoft, Starbucks, SPDR S&P 5……, Sells The Estee ..."
2017-02-01,Watch Microsoft In 2017
2017-02-02,"Artemis Investment Management LLP Buys Microsoft, Bank of Americaoration, Hess, Sells Lockheed ..."
2017-02-06,"Insiders Week: Microsoft, Apple, Trinet Group"
2017-02-07,"Montag & Caldwell, Llc Buys UnitedHealth Group, Microsoft, Danaher, Sells Allergan PLC, CVS ..."
2017-02-08,"Dubuque Bank & Trust Co Buys Facebook, Microsoft, United Technologies, Sells Gilead ..."
2017-02-09,"Amazon Snags Snap Pact As Cloud Battle With Microsoft, Alphabet Grows"
2017-02-10,"Beach Investment Counsel Inc Buys JPMorgan Chase, Bank of Americaoration, Microsoft, Sells ..."
2017-02-13,"Moors & Cabot, Inc. Buys Eli Lilly and Co, Accenture PLC, Microsoft, Sells Psychemedics, ..."
2017-02-15,"Davidson Kempner Capital Management LP Buys St Jude Medical, American Capital, Microsoft, Sells ..."
2017-02-16,Microsoft: The (Azure) Sky's The Limit
2017-02-16,"Night Owl Capital Management, LLC Buys CoStar Group, Facebook, Blackbaud, Sells Microsoft"
2017-02-21,Microsoft & Nadella Do Earnings Right: A Samadhi Partners Video Brief
2017-02-22,"Numeric Investors Llc Buys Gilead Sciences, Microsoft, Apple, Sells Facebook, Symantec, Comcast"
2017-02-24,"Goldman Sachs Group Inc Buys NVIDIA, Microsoft, JPMorgan Chase, Sells iShares iBoxx $ ..."
2017-02-24,Google Plays Catch-Up In The Cloud With Amazon And Microsoft
2017-02-27,"Numeric Investors Llc Buys Gilead Sciences, Microsoft, Baxter International, Sells Facebook, ..."
2017-02-28,"GameStop, Best Buy Hit As Microsoft Prepares Netflix-Style Online Gaming Plan"
2017-03-01,"Andreas Halvorsen Continues Buying Microsoft, Alphabet, Others"
2017-03-02,"Norges Bank Buys Apple, Microsoft, Exxon Mobil"
2017-03-03,"USA Financial Portformulas Corp Buys Intel, Microsoft, Cisco Systems, Sells Johnson & ..."
2017-03-10,"Tripping With Microsoft, NVIDIA And Advanced Micro, Oh My!"
2017-03-13,"Microsoft, Cisco, Apple Among Tom Gayner's Recent Investments"
2017-03-20,"Apple, Nike, Cisco, Microsoft, FedEx Lead Investing Action Plan"
2017-03-22,"Indexes Mostly Unchanged, But Microsoft, Apple, Intel Outperform In Dow"
2017-03-23,"Primecap Sells NVIDIA, Microsoft, Union Pacific"
2017-03-24,"Goldman Sachs Group Inc Buys NVIDIA, Microsoft, JPMorgan Chase, Sells iShares iBoxx $ ..."
2017-03-27,"Charles Brandes Sells Microsoft, Buys McKesson"
2017-04-07,"Waverton Investment Management Ltd Buys Biogen, Microsoft, Visa, Sells Gilead Sciences, ..."
2017-04-10,"Stock Yards Bank & Trust Co Buys Microsoft, Johnson & Johnson, Abbott Laboratories, ..."
2017-04-11,"Perkins Coie Trust Co Buys Microsoft, Walt Disney Co, PepsiCo, Sells Danaher, iPath Bloomberg ..."
2017-04-11,Allscripts announces dbMotionâ¢ Solution now available through cloud on Microsoft Azure
2017-04-18,"Yacktman Fund Sells Viacom, Oracle, Microsoft"
2017-04-19,"Mitchell Sinkler & Starr Buys Enbridge, Microsoft, Wells Fargo, Sells Johnson & ..."
2017-04-20,"Apple, Facebook, Microsoft Among Tech ETF's Heavyweights"
2017-04-21,Stocks Off Lows On Trump Tax Pledge; Microsoft Makes Bullish Move
2017-04-24,"BTIM Corp. Buys Bemis Co, The Priceline Group, Hill-Rom Holdings, Sells Apple, Microsoft, ..."
2017-04-26,"Burns Wealth Management, Inc. Buys General Electric Co, Microsoft, Reynolds American, Sells ..."
2017-05-02,"Mitsubishi UFJ Securities International PLC Buys Microsoft Corp, Apple Inc, Mondelez ..."
2017-05-03,"Bnp Paribas Arbitrage, Sa Buys Apple Inc, SPDR S&P 5……, Microsoft Corp, Sells iShares U. ..."
2017-05-04,"John Hussman Trims Microsoft and Aflac, Exits Medtronic"
2017-05-05,Solid Results Point to Bright Future for Microsoft
2017-05-05,"Diamond Hill Buys Berkshire, Microsoft, PepsiCo"
2017-05-08,"State of Tennessee, Treasury Department Buys iShares MSCI Taiwan Capped, Microsoft Corp, Amazon. ..."
2017-05-11,Stock Indexes Skid; Microsoft Down On Margin Guidance
2017-05-15,"Louis Moore Bacon Buys iShares MSCI Emerging Index Fund, Alibaba Group Holding, Microsoft Corp, ..."
2017-05-17,"Troy Asset Management Ltd Buys Altria Group Inc, Microsoft Corp, American Express Co"
2017-05-23,"Steadfast Capital Management Lp Buys Humana Inc, Microsoft Corp, eBay Inc, Sells Apple Inc, ..."
2017-05-30,Stocks Close Slightly Lower; Microsoft Reaches Record High
2017-06-02,"After Microsoft Breaks Out, What Buy Point Is Oracle Targeting?"
2017-06-06,"Radiant Logistics, Dean Foods, Microsoft, Apple and Amazon highlighted as Zacks Bull and Bear of the Day"
2017-06-08,"Leon Cooperman Sells Microsoft, HRG Group"
2017-06-14,"Facebook A Laggard Behind Alphabet, Apple, Microsoft In This Big Field"
2017-06-19,"Stocks Up; Why Apple, Microsoft Can Beat The S&P 500 In 2017"
2017-06-20,2 Big Dividend Plays Near Buy Point; Which One Owns Microsoft?
2017-06-30,Microsoft Buys Cloud Monitoring Software Provider Cloudyn
2017-07-06,"DnB Asset Management AS Buys Intel Corp, Microsoft Corp, Visa Inc, Sells Apple Inc, Abbott ..."
2017-07-06,DXC Acquires Microsoft Dynamics 365 Integrator Tribridge
2017-07-10,"Perkins Coie Trust Co Buys Microsoft Corp, PepsiCo Inc, SPDR Series Trust S&P Biotech, ..."
2017-07-10,"Glaxis Capital Management, LLC Buys Apple Inc, Broadcom, Microsoft Corp, Sells SPDR S&P ..."
2017-07-12,"Top Analyst Reports for Microsoft, Wal-Mart & Home Depot"
2017-07-14,"Stocks Climb Into Closing Bell; Microsoft, Wal-Mart Lead Dow"
2017-07-14,"Netflix, Microsoft, GE, Lockheed To Amp Up Earnings: Investing Action Plan"
2017-07-14,"Techs Boost Nasdaq, Microsoft Breaks Out; Will Apple Flash A New Entry Point?"
2017-07-17,"TNB Financial Buys iShares Core S&P 5……, Celgene Corp, Microsoft Corp, Sells Gilead ..."
2017-07-17,Will Azure Act in Favor of Microsoft (MSFT) in Q4 Earnings?
2017-07-18,Microsoft & Baidu Partner On Autonomous Cars
2017-07-18,Microsoft to Upgrade Skype on Unfavorable User Feedback
2017-07-21,Microsoft: Solid 4th Quarter Sets Stage for Fiscal —…–8
2017-07-21,"Vertex Pharma, A10 Networks, Microsoft, Visa and eBay highlighted as Zacks Bull and Bear of the Day"
2017-07-21,"Sears Survives, NFLX & UAL Earnings, and Microsoft's Impressive Quarter"
2017-07-24,"Kinsight, LLC Buys Microsoft Corp, Sells Total System Services Inc, Synovus Financial Corp, ..."
2017-07-25,"Icm Asset Management Inc Buys Microsoft Corp, Lowe's Inc, Allegheny Technologies Inc, Sells ..."
2017-07-28,"Stocks Flounder; Key Action In Facebook, Amazon.com, Microsoft"
2017-08-02,"White Bay Pt Llc Buys Apple Inc, Microsoft Corp, JPMorgan Chase, Sells Cabot Microelectronics ..."
2017-08-02,"CAM Group Holding A Buys Microsoft Corp, Starbucks Corp, Mondelez International Inc, Sells HDFC ..."
2017-08-09,Which Is A Better Value Play: Apple Or Microsoft?
2017-08-11,Stocks Higher As Nasdaq Leads; A Key Signal For Microsoft
2017-08-11,"Ruffer LLP Buys McKesson Corp, Oracle Corp, Tenaris SA, Sells Exxon Mobil Corp, Microsoft Corp, ..."
2017-08-11,"David Abrams Buys Altaba Inc, Cars.com Inc, Amerco Inc, Sells Microsoft Corp, Barnes & ..."
2017-08-14,"Leon Cooperman Buys Microsoft Corp, Sinclair Broadcast Group Inc, Valvoline Inc, Sells ..."
2017-08-15,"Stonebridge Capital Advisors LLC Buys Gilead Sciences Inc, Microsoft Corp, SPDR S&P ..."
2017-08-17,"Henderson Group Plc Buys Microsoft Corp, Alphabet Inc, Apple Inc, Sells Cardinal Health Inc, ..."
2017-08-18,Microsoft Postpones Launch of Crackdown 3 to Spring '18
2017-08-23,"Henderson Group Plc Buys Microsoft Corp, Alphabet Inc, Apple Inc, Sells Cardinal Health Inc, ..."
2017-08-28,Microsoft Announces Record Pre-Ordering Rate for Xbox One X
2017-08-29,"Top Research Reports for Johnson & Johnson, JPMorgan & Microsoft"
2017-08-30,"The Zacks Analyst Blog Highlights: Johnson & Johnson, JPMorgan, Microsoft, Motorola, J.M. Smucker and Entergy"
2017-08-31,"Nasdaq Up 0.8% As Microsoft, Alphabet Stocks Make Strides"
2017-09-05,"The Zacks Analyst Blog Highlights: Alphabet, Microsoft, Apple and Western Digital"
2017-09-11,"Chase Coleman Buys Microsoft Corp, TransDigm Group Inc, Apollo Global Management LLC, Sells ..."
2017-09-18,"Apple, Microsoft Lead 7 Top Stocks Holding In Buy Range; S&P 500 Futures"
2017-09-20,"The Zacks Analyst Blog Highlights: UBS Group, IBM, Microsoft and JPMorgan Chase"
2017-09-25,Nasdaq Leads Stock Losses As Microsoft Falls Below Key Price Level
2017-09-29,"The Zacks Analyst Blog Highlights: Microsoft, Amazon, Qualcomm, CDW and Red Hat"
2017-10-05,"Stocks Hold Gains As Microsoft, Amazon.com Aid The Nasdaq"
2017-10-06,"BioTelemetry, Royal Gold, Microsoft and Amazon highlighted as Zacks Bull and Bear of the Day"
2017-10-10,"Appropriate Balance Financial Services Inc. Buys Shopify Inc, Vanguard Growth, Microsoft Corp"
2017-10-17,Microsoft Azure to Support Symantec's Security Products
2017-10-18,"Locust Wood Capital Advisers, Llc Buys Silver Run Acquisition Corp II, Microsoft Corp, ..."
2017-10-19,"Texas Capital Bancshares Inc Buys Honeywell International Inc, Raytheon Co, Microsoft Corp, ..."
2017-10-20,"The Zacks Analyst Blog Highlights: Csra, Amazon, Microsoft and ServiceNow"
2017-10-20,"Mathes Company, Inc. Buys Microsoft Corp, Parker Hannifin Corp, Texas Instruments Inc, Sells ..."
2017-10-25,"Earnings Lined Up for Oct 26: INTC, GOOGL, MSFT, VRSN & CDNS"
2017-10-27,Microsoft (MSFT) Q1 Earnings Beat on Strong Azure Growth
2017-10-27,Tech ETFs to Soar on Microsoft's Blockbuster Earnings Beat
2017-10-31,"Top Analyst Reports for Microsoft, Chevron & Intel"
2017-11-01,"The Zacks Analyst Blog Highlights: Microsoft, Chevron, Intel, Biogen and Kinder Morgan"
2017-11-02,"Alecta Pensionsforsakring, Omsesidigt Buys Microsoft Corp, Ulta Beauty Inc, Analog Devices Inc, ..."
2017-11-06,"Apple, Microsoft Fuel Big-Cap Growth; Nvidia Drives IBD 50 ETF"
2017-11-07,"Welch Group, LLC Buys Microsoft Corp, DowDuPont Inc, SPDR Select Sector Fund - Energy Select ..."
2017-11-07,"Zacks.com featured highlights: PetMed Express, Microsoft, Rockwell Collins, Jones Lang LaSalle and Owens Corning"
2017-11-08,"Brighton Jones Llc Buys Microsoft Corp, iShares MSCI EAFE Growth, UnitedHealth Group Inc, Sells ..."
2017-11-08,"Stocks Flat, 2 Leaders Break Out; 3 Reasons Why Microsoft May Double In Price"
2017-11-09,"Zacks Market Edge Highlights: Microsoft, IBM, Amazon, CME Group and Visa"
2017-11-10,Google and Salesforce Join Hands to Take On Microsoft
2017-11-14,"Jeff Ubben Buys KKR LP, Seagate Technology PLC, Sells Willis Towers Watson PLC, Microsoft Corp, ..."
2017-11-16,"Claar Advisors LLC Buys Mondelez International Inc, Praxair Inc, Microsoft Corp, Sells Crown ..."
2017-11-16,SAP Ariba to Aid Microsoft's Hardware Business & Supply Chain
2017-11-17,"Do You Like Apple, Microsoft? They May Not Be As Extended As You Think"
2017-11-23,Should Microsoft Buy Workday?
2017-11-30,"Microsoft, Adobe Flew Into The Cloud; Can They Remain Airborne?"
2017-12-04,"Stocks Fade, Close Mainly Lower; Microsoft Tumbles But Chevron Rallies"
2017-12-04,"Andreas Halvorsen Trims Deere, Microsoft, Wells Fargo Positions"
2017-12-05,"Stocks Mixed As Nvidia, Microsoft, Other Techs Try To Bounce"
2017-12-06,"Tech Stock Pullback Creating Opportunities In Apple, Microsoft?"
2017-12-08,CNBC: Microsoft and Google spoke to Qualcomm against Broadcom offer
2017-12-08,"Indexes Rise On Jobs Data; Microsoft Builds Base, In Position For Breakout"
2017-12-12,Bsquare announces Amazon and Microsoft integrations
2017-12-12,"SRS Investment Management, LLC Buys Symantec Corp, Snap Inc, Microsoft Corp, Sells Comcast ..."
2017-12-14,"Top Analyst Reports for Microsoft, Johnson & Johnson & ExxonMobil"
2017-12-14,Cheetah Mobile +2.6% on Microsoft collab
2017-12-15,"The Zacks Analyst Blog Highlights: Microsoft, Johnson & Johnson, ExxonMobil, American Airlines and Honda"
2017-12-17,"Podcast: Net Neutrality, Disney-Fox, Apple-Shazam, Microsoft AI"
2017-12-19,"Nasdaq Leads Stocks Lower, With Microsoft, Apple Losing Buy Points"
2017-12-22,"Like Apple, Microsoft, Big Dividends? Try These Smart Beta ETFs"
2017-12-26,FireEye +1.4% after The Information predicts Microsoft acquisition
2017-12-28,"Microsoft, Hot AI Stocks In Reach With This Top Software Play"
2018-01-05,"Top Research Reports for Microsoft, Intel & UnitedHealth"
2018-01-08,Microsoft (MSFT) Hits 52-Week High: What's Behind the Rally?
2018-01-08,"The Zacks Analyst Blog Highlights: Microsoft, Intel, UnitedHealth, Mondelez and Deere"
2018-01-10,From Ego To Empathy: A Microsoft Transformation
2018-01-15,"The Zacks Analyst Blog Highlights: Gartner, Alphabet, Microsoft and Apple"
2018-01-16,"Yacktman Fund Buys Bollore SA, Sells Microsoft Corp, Sysco Corp, Wal-Mart Stores Inc"
2018-01-16,"Yacktman Focused Fund Buys Bollore SA, Sells Samsung Electronics Co, Microsoft Corp, Sysco Corp"
2018-01-17,"Yacktman Focused Fund Reduces Samsung, Microsoft, Sysco Positions"
2018-01-18,"AustralianSuper Pty Ltd Buys Microsoft Corp, Visa Inc, Facebook Inc, Sells General Electric Co, ..."
2018-01-19,"State of Alaska, Department of Revenue Buys Apple Inc, Microsoft Corp, Amazon. ..."
2018-01-22,Buy Microsoft (MSFT) As Stock Hits New High
2018-01-24,"The Zacks Analyst Blog Highlights: Microsoft, Philip Morris, 3M, Schlumberger and TJX"
2018-01-25,"St. Louis Trust Co Buys Texas Instruments Inc, Microsoft Corp, Wells Fargo"
2018-01-29,Key Factors That May Impact Microsoft's (MSFT) Q2 Earnings
2018-01-30,"Facebook, Microsoft, Boeing Headline 7 Key Earnings Reports: Investing Action Plan"
2018-01-30,"Elite Wealth Management, LLC Buys Microsoft Corp, Amazon. ..."
2018-01-30,"Software Stocks Earnings on Jan 31: MSFT, CTXS, PYPL & CDNS"
2018-01-30,"Microsoft Q2 Earnings: Azure, Office 365, Windows 10 in Focus"
2018-02-01,"Stocks Rise After Indecisive Morning; Microsoft, Facebook Hit Record Highs"
2018-02-01,Top-Ranked ETFs to Ride on Microsoft's Cloud Growth Story
2018-02-01,"Microsoft (MSFT) Surpasses Q2 Earnings & Revenues, Up Y/Y"
2018-02-05,"Apple, Microsoft Among Leading Dividend Stock Plays"
2018-02-06,"Teacher Retirement System Of Texas Buys 'M Co, Intel Corp, Best Buy Co Inc, Sells Microsoft ..."
2018-02-13,"Are Hot AI Stocks Such As Microsoft, Adobe On Your Radar?"
2018-02-13,"The Zacks Analyst Blog Highlights: Microsoft, Apple, Micron Technology, Lam Research and ASML Holding"
2018-02-27,"Zacks.com highlights: CBRE Group, Lockheed Martin, LyondellBasell Industries N.V., Applied Materials and Microsoft"
2018-03-08,"The Zacks Analyst Blog Highlights: Broadcom, Microsoft, Qualcomm, Apple and Alphabet"
2018-03-08,Microsoft Is Heading To $100 - Cramer's Lightning Round (3/7/18)
2018-03-14,21Vianet and Microsoft extend cloud partnership in China
2018-03-14,"Microsoft Roundup: Thwarts Cryptocoin Attack, Signs Energy Deal"
2018-03-19,"Polar Capital LLP Buys Microsoft Corp, Alnylam Pharmaceuticals Inc, Amazon. ..."
2018-03-27,Amdocs (DOX) to Provide ONAP in Collaboration With Microsoft
2018-03-27,L3 cloud collaboration with Microsoft
2018-04-03,"Genesee Valley Trust Co Buys Zoetis Inc, Microsoft Corp, Dollar General Corp, Sells Celgene ..."
2018-04-04,"Cornerstone Investment Partners, LLC Buys Accenture PLC, Pfizer Inc, Chubb, Sells Microsoft ..."
2018-04-09,"Top Analyst Reports for Microsoft, Merck & Union Pacific"
2018-04-10,"The Zacks Analyst Blog Highlights: IBM, Microsoft, Mastercard, Visa and American Express"
2018-04-11,Why Wouldn't Microsoft Buy Tableau?
2018-04-11,"Spence Asset Management Buys Schwab US Dividend Equity, Cullen/Frost Bankers Inc, Microsoft ..."
2018-04-12,"Sicart Associates LLC Buys SPDR Gold Trust, Nutrien, Patterson-UTI Energy Inc, Sells Microsoft ..."
2018-04-16,"Arista Shares Plunge on Analyst Downgrade, Microsoft Concern"
2018-04-17,"Microsoft, Facebook among tech cos signing Cybersecurity Tech Accord"
2018-04-20,"Earnings On Deck For Lockheed Martin; Tech Giants Intel, Amazon.com, Microsoft"
2018-04-25,"Tech Stocks Earnings on Apr 26: MSFT, INTC, VRSN and MXIM"
2018-04-27,"HWG Holdings LP Buys Microsoft Corp, Netflix Inc, iShares MSCI Emerging Index Fund, Sells ..."
2018-04-30,"James Hambro & Partners Buys United Technologies Corp, Microsoft Corp, Electronic Arts Inc, ..."
2018-04-30,Cyren signs contract expansion with Microsoft; shares +5.9%
2018-05-08,"Urban Outfitters, Southwest Airlines, Microsoft, Amazon and Alphabet as Zacks Bull and Bear of the Day"
2018-05-08,"Francis Financial, Inc. Buys Microsoft Corp, Sells Colgate-Palmolive Co, Xtrackers MSCI Europe ..."
2018-05-13,"Podcast: Microsoft Build, Citrix Synergy, Google I/O"
2018-05-14,Insight Illustrates the Power of Microsoft's New Azure Sphere Solution
2018-05-16,"Mairs & Power Inc Buys Fiserv Inc, Microsoft Corp, Charles Schwab Corp, Sells General ..."
2018-05-18,Microsoft Unveils Xbox Controller for Specially-Abled Gamers
2018-05-28,Is It Too Late To Buy Microsoft?
2018-05-29,"Goldman Sachs Group Inc Buys Microsoft Corp, iShares iBoxx $ High Yield Corporate Bond, iShares ..."
2018-06-01,Pointer Telocation: New Microsoft AI Collaboration
2018-06-01,"VMware plans to expand to Microsoft, Google cloud platforms"
2018-06-01,Sabre's (SABR) Next Cloud Migration to be Aided by Microsoft
2018-06-04,Is Microsoft (MSFT) Eyeing Open Source Code Platform Github?
2018-06-04,"Barclays Plc Buys iPath S&P 5…… VIX Short Term Futures TM ETN, Apple Inc, Microsoft ..."
2018-06-05,Microsoft Puts Rumors to Rest by Confirming GitHub Buyout
2018-06-07,Microsoft (MSFT) and Six Flags (SIX): Growth and Income Stocks
2018-06-07,Microsoft (MSFT) Hits 52-Week High: What's Driving The Stock?
2018-06-08,"Dow 30 Stock Roundup: UnitedHealth Hikes Quarterly Dividend by 20%, Microsoft Confirms GitHub Buyout"
2018-06-08,Insight Recognized as Worldwide Winner for —…–8 Microsoft Artificial Intelligence Partner ...
2018-06-11,"Microsoft At E3: 52 Games, 5 Gaming Studios, New Xbox Coming"
2018-06-14,Microsoft's Upcoming Checkout Technology to Target Amazon Go
2018-06-18,"Top Stock Reports for Microsoft, Home Depot & Verizon"
2018-06-18,"Hortonworks +4.4% on partnership expansions with Microsoft, Google"
2018-06-19,"The Zacks Analyst Blog Highlights: Microsoft, Home Depot, Verizon, Adobe and PPG"
2018-06-19,Microsoft: Outlook Remains Bright
2018-06-21,"Goldman Sachs Group Inc Buys Microsoft Corp, iShares iBoxx $ High Yield Corporate Bond, iShares ..."
2018-06-21,Microsoft to Add Automated AI Capabilities With Bonsai Buyout
2018-06-21,Equinor's Digitalization Mission Gets Boost from Microsoft
2018-06-25,"Nasdaq Paces Sell-Off On Trump Trade-War Worries; Time To Sell Apple, Intel, Microsoft?"
2018-06-26,"Avalon Advisors, Llc Buys Edwards Lifesciences Corp, NVIDIA Corp, Garmin, Sells Microsoft Corp, ..."
2018-06-27,Microsoft launches two new regions in China
2018-06-28,"Microsoft Roundup: ICE Furor, Blockchain, Deals, More"
2018-06-28,"Choppy Action Recedes As Rebound Heats Up, Apple And Microsoft Steady; Invest In This Leading Sector?"
2018-07-01,"Dow Jones Futures: Tesla Model 3 Hits Key Milestone; Eye Apple, Microsoft"
2018-07-06,"Vision Capital Management, Inc. Buys NextEra Energy Inc, Microsoft Corp, Starbucks Corp, Sells ..."
2018-07-10,Magic Software +5.8% on earning Microsoft Partner status
2018-07-12,"Tech Stocks Lead Stock Market Rally; Cisco, Intel, Microsoft Pace Dow"
2018-07-16,Microsoft Stresses on Regulation of Facial Recognition Tech
2018-07-18,Why Microsoft Just Picked a Side in the Walmart-Amazon War
2018-07-18,"Microsoft, E-Trade, Domino's Lead Top Earnings Due: Investing Action Plan"
2018-07-19,"Technology Stock Earnings on Jul 19: SYNT, MSFT and SWKS"
2018-07-19,"Zacks Market Edge Highlights: Align, Alibaba, Microsoft, Etsy and Amazon"
2018-07-19,Microsoft Rises on Strong Commercial Cloud Revenue Growth in Fiscal —…–8
2018-07-20,"Q2 Earnings Point Markets Forward: MSFT, GE, VFC & More"
2018-07-20,"Microsoft Stock Pops On Earnings, Lifts Tech Stocks; Skechers Crashes"
2018-07-20,"Dow 30 Stock Roundup: Goldman Sachs, IBM, J&J, Microsoft Earnings Impress"
2018-07-20,"Microsoft Boosts Nasdaq, Dow Jones As This Shoe Retailer Gets Slammed"
2018-07-20,"Stock Futures: Microsoft Lifts Nasdaq, Dow Fights To Hold 25,000"
2018-07-20,"Microsoft (MSFT) Beats Q4 Earnings, Top Line Grows on Azure"
2018-07-20,"Boston Beer, Keurig Dr Pepper and Microsoft highlighted as Zacks Bull and Bear of the Day"
2018-07-20,"Comcast-Disney News, Google's EU Fine, & Earnings from IBM and Microsoft"
2018-07-26,"Microsoft, H&R Block, Facebook, Qualcomm and Gilead highlighted as Zacks Bull and Bear of the Day"
2018-07-31,The Information: Capital One switches from Microsoft to Google cloud products
2018-07-31,"Providence First Trust Co Buys Valero Energy Corp, Microsoft Corp, iShares MSCI EAFE, Sells New ..."
2018-07-31,"Nicolet Bankshares Inc Buys FlexShares Global Upstream Natural Resources Index, Microsoft Corp, ..."
2018-08-03,"The Zacks Analyst Blog Highlights: Microsoft, Micron, Amazon.com, Illumina and Activision"
2018-08-09,"Suncoast Equity Management Buys Microsoft Corp, The Home Depot Inc, iShares U.S. ..."
2018-08-10,"DDD Partners, LLC Buys Microsoft Corp, Seaspan Co, Limelight Networks Inc, Sells Lowe's Inc, ..."
